questionText,answer1,answer2,answer3,answer4,correctAnswer,level,questionType,questionUrl,gameId
מה עושה תמרור עצור?,עוצרים,מאיצים,פונים ימינה,עוברים מהר,1,1,text,,3
מה מראה אור ירוק ברמזור?,עצור,סע,זהירות,פנה שמאלה,2,1,text,,
מה חובה לעשות לפני פנייה?,להאט,להאיץ,לצפור,לבלום חזק,1,1,text,,3
מה חובה לעשות לפני מעבר חציה?,להסתכל לצדדים,לנסוע מהר,לצפור,לא לעצור,1,1,text,,3
מתי עוצרים ברמזור אדום?,תמיד,רק בלילה,רק בעיר,לא עוצרים,1,1,text,,3
מה מראה תמרור חניה?,איסור חניה,חניה מותרת,תמרור עצור,פנייה ימינה,2,2,text,,3
איך נוהגים בכביש רטוב?,לאט,מהר,לא נוהגים בכביש רטוב,עוצרים כל כמה מטרים,1,2,text,,3
למה חשוב חגורת בטיחות?,להגנה,לנוחות,ליופי,לא חובה,1,2,text,,3
מה עושים כשמגיעים לצומת?,עוצרים,מאיצים,צופרים,פונים,1,3,text,,3
מה מסמן קו הפרדה רצוף?,אסור לעקוף,מותר לעקוף,רק לאופניים,אין משמעות,1,3,text,,3